# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NODE_11_length_43941_cov_46.991806	4114	7791	+	1662.7	1055	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_11_length_43941_cov_46.991806	470	4081	+	1248.6	799	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_49_length_13974_cov_25.803640	4141	7866	+	264.0	368	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NODE_3_length_67049_cov_34.215385	33091	30473	-	518.0	546	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_15_length_41336_cov_35.854134	23727	21739	-	754.6	478	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_35_length_19242_cov_24.816636	2447	606	-	546.1	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_46_length_14931_cov_25.654350	12136	13959	+	742.6	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NODE_47_length_14503_cov_75.816708	14260	12899	-	272.6	262	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NODE_17_length_39131_cov_34.862373	7914	5827	-	520.0	464	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_4_length_58780_cov_44.203042	32095	33858	+	591.7	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_40_length_17814_cov_35.105219	17773	16445	-	331.2	280	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_49_length_13974_cov_25.803640	7959	9401	+	275.3	278	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_8_length_50138_cov_30.859471	30124	31398	+	420.2	311	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
