#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_236478_cov_33.405658:113635-114534|- -            300 984717at2            -            224   2.9e-68  227.0  14.3   1   1     6e-67   1.1e-64  215.3  14.3     1   220     8   287     8   294 0.79 NODE_6_length_236478_cov_33.405658_115 # 113635 # 114534 # -1 # ID=6_115;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.331
NODE_6_length_236478_cov_33.405658:23171-24481|-   -            437 984717at2            -            224   1.1e-34  117.2   4.4   1   2   1.5e-20   2.7e-18   63.6   0.2     2   109     6   129     5   135 0.73 NODE_6_length_236478_cov_33.405658_24 # 23171 # 24481 # -1 # ID=6_24;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NODE_6_length_236478_cov_33.405658:23171-24481|-   -            437 984717at2            -            224   1.1e-34  117.2   4.4   2   2   9.3e-18   1.7e-15   54.4   0.5     3   107   179   302   177   334 0.74 NODE_6_length_236478_cov_33.405658_24 # 23171 # 24481 # -1 # ID=6_24;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NODE_1_length_477897_cov_41.704631:435252-436631|- -            460 984717at2            -            224   1.4e-14   51.4   2.6   1   2       3.6   6.5e+02   -3.1   0.1   106   134   163   189   134   205 0.60 NODE_1_length_477897_cov_41.704631_394 # 435252 # 436631 # -1 # ID=1_394;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.341
NODE_1_length_477897_cov_41.704631:435252-436631|- -            460 984717at2            -            224   1.4e-14   51.4   2.6   2   2   7.9e-17   1.4e-14   51.4   2.6     3   107   225   343   223   366 0.80 NODE_1_length_477897_cov_41.704631_394 # 435252 # 436631 # -1 # ID=1_394;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.341
NODE_5_length_256676_cov_32.527157:54256-55140|+   -            295 984717at2            -            224   4.5e-12   43.2   2.2   1   3     0.032       5.8    3.6   0.2    66   104    17    63     3    87 0.73 NODE_5_length_256676_cov_32.527157_48 # 54256 # 55140 # 1 # ID=5_48;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.334
NODE_5_length_256676_cov_32.527157:54256-55140|+   -            295 984717at2            -            224   4.5e-12   43.2   2.2   2   3       2.2     4e+02   -2.4   0.0   180   199    88   107    72   111 0.78 NODE_5_length_256676_cov_32.527157_48 # 54256 # 55140 # 1 # ID=5_48;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.334
NODE_5_length_256676_cov_32.527157:54256-55140|+   -            295 984717at2            -            224   4.5e-12   43.2   2.2   3   3   5.7e-13     1e-10   38.8   0.1     3    66   124   185   122   206 0.83 NODE_5_length_256676_cov_32.527157_48 # 54256 # 55140 # 1 # ID=5_48;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.334
NODE_6_length_236478_cov_33.405658:207877-208467|- -            197 984717at2            -            224   6.4e-11   39.5   0.1   1   1   5.9e-13   1.1e-10   38.7   0.1     2    63    28    88    27   149 0.84 NODE_6_length_236478_cov_33.405658_210 # 207877 # 208467 # -1 # ID=6_210;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.288
NODE_12_length_78488_cov_33.302509:9117-12557|+    -           1147 984717at2            -            224     7e-10   36.1   6.4   1   4   2.9e-06   0.00053   16.8   0.0     3    49    44    89    42   121 0.87 NODE_12_length_78488_cov_33.302509_10 # 9117 # 12557 # 1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_12_length_78488_cov_33.302509:9117-12557|+    -           1147 984717at2            -            224     7e-10   36.1   6.4   2   4    0.0071       1.3    5.8   0.1    48   104   132   199   116   217 0.73 NODE_12_length_78488_cov_33.302509_10 # 9117 # 12557 # 1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.305
