# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NODE_3_length_300823_cov_37.209812	273210	269587	-	1718.4	1053	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_3_length_300823_cov_37.209812	276898	273347	-	1299.7	811	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_4_length_276630_cov_35.000752	91704	89515	-	336.9	405	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NODE_6_length_236478_cov_33.405658	158258	155625	-	558.4	548	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_3_length_300823_cov_37.209812	42374	40389	-	760.3	489	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_4_length_276630_cov_35.000752	50594	48747	-	534.3	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_6_length_236478_cov_33.405658	131606	129783	-	737.7	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NODE_1_length_477897_cov_41.704631	438112	439473	+	317.8	260	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NODE_5_length_256676_cov_32.527157	61932	64007	+	538.8	463	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_6_length_236478_cov_33.405658	171564	169798	-	614.9	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_1_length_477897_cov_41.704631	460035	461318	+	327.1	280	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_4_length_276630_cov_35.000752	89536	88052	-	253.9	293	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_1_length_477897_cov_41.704631	450380	451666	+	400.5	312	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
