locus_tag	ftype	length_bp	gene	EC_number	COG	product
DIFIKDCD_00001	CDS	1197	tuf	3.6.5.3		Elongation factor Tu
DIFIKDCD_00002	CDS	870	gla			Glycerol facilitator-aquaporin gla
DIFIKDCD_00003	CDS	522				hypothetical protein
DIFIKDCD_00004	CDS	609				hypothetical protein
DIFIKDCD_00005	CDS	510				hypothetical protein
DIFIKDCD_00006	CDS	255				hypothetical protein
DIFIKDCD_00007	CDS	534				IS630 family transposase IS630-Spn1
DIFIKDCD_00008	CDS	1719	pgcA	5.4.2.2	COG1109	Phosphoglucomutase
DIFIKDCD_00009	CDS	348				hypothetical protein
DIFIKDCD_00010	CDS	837	artP_1		COG0834	Arginine-binding extracellular protein ArtP
DIFIKDCD_00011	CDS	630	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
DIFIKDCD_00012	CDS	642	tcyL_1		COG0765	L-cystine transport system permease protein TcyL
DIFIKDCD_00013	CDS	1230	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
DIFIKDCD_00014	CDS	1167			COG0628	Putative transport protein
DIFIKDCD_00015	CDS	1014	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
DIFIKDCD_00016	CDS	420	atpC		COG0355	ATP synthase epsilon chain
DIFIKDCD_00017	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
DIFIKDCD_00018	CDS	879	atpG		COG0224	ATP synthase gamma chain
DIFIKDCD_00019	CDS	1506	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
DIFIKDCD_00020	CDS	537	atpH		COG0712	ATP synthase subunit delta
DIFIKDCD_00021	CDS	495	atpF		COG0711	ATP synthase subunit b
DIFIKDCD_00022	CDS	717	atpB		COG0356	ATP synthase subunit a
DIFIKDCD_00023	CDS	201	atpE			ATP synthase subunit c
DIFIKDCD_00024	CDS	1086				hypothetical protein
DIFIKDCD_00025	CDS	429				hypothetical protein
DIFIKDCD_00026	CDS	483	greA			Transcription elongation factor GreA
DIFIKDCD_00027	CDS	1656	mltG	4.2.2.29	COG1559	Endolytic murein transglycosylase
DIFIKDCD_00028	CDS	495				hypothetical protein
DIFIKDCD_00029	CDS	465				hypothetical protein
DIFIKDCD_00030	CDS	1335	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
DIFIKDCD_00031	CDS	618				hypothetical protein
DIFIKDCD_00032	CDS	3099	rapA	3.6.4.-		RNA polymerase-associated protein RapA
DIFIKDCD_00033	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
DIFIKDCD_00034	CDS	1095	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
DIFIKDCD_00035	CDS	723	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
DIFIKDCD_00036	CDS	936	bmrA	7.6.2.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
DIFIKDCD_00037	CDS	1896	aliB		COG4166	Oligopeptide-binding protein AliB
DIFIKDCD_00038	CDS	1623	murJ		COG2244	Lipid II flippase MurJ
DIFIKDCD_00039	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
DIFIKDCD_00040	CDS	114				hypothetical protein
DIFIKDCD_00041	CDS	597				hypothetical protein
DIFIKDCD_00042	CDS	513				hypothetical protein
DIFIKDCD_00043	CDS	936	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
DIFIKDCD_00044	CDS	300				hypothetical protein
DIFIKDCD_00045	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
DIFIKDCD_00046	CDS	360	yugI		COG1098	General stress protein 13
DIFIKDCD_00047	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
DIFIKDCD_00048	CDS	240	rpsR		COG0238	Small ribosomal subunit protein bS18
DIFIKDCD_00049	CDS	471	ssb_1		COG0629	Single-stranded DNA-binding protein
